strain	subject acc.ver	subject title	species	genotype	E	P	H	F	date	year	location	GeoNames.country_code	GeoNames.admin1_code	GeoNames.admin2_code	GeoNames.admin3_code	GeoNames.admin4_code	GeoNames.geonameid	GeoNames.name	GeoNames.latitude	GeoNames.longitude	GeoNames.feature_code	GeoNames.modification_date
AB333801.2	AB333801.2	Human adenovirus 54 DNA, complete genome	D	54	54	54	54	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448767.1	AB448767.1	Human adenovirus 8 genomic DNA, complete genome, isolate: Trim	D	8	8	8	8	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448768.1	AB448768.1	Human adenovirus 8 genomic DNA, complete genome, isolate: 8b	D	8	8	8	8	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448769.1	AB448769.1	Human adenovirus 8 genomic DNA, complete genome, isolate: 8e	D	8	8	8	8	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448770.2	AB448770.2	Human adenovirus 54 DNA, complete genome	D	54	54	54	54	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448771.1	AB448771.1	Human adenovirus 19 genomic DNA, complete genome, isolate: AV-587	D	94	17	23	19	19	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448772.1	AB448772.1	Human adenovirus 19 genomic DNA, complete genome, isolate: 19a	D	19	19	19	19	19	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448773.1	AB448773.1	Human adenovirus 19 genomic DNA, complete genome, isolate: 1997	D	19	19	19	19	19	1997-01-01	1997	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
AB448774.1	AB448774.1	Human adenovirus 19 genomic DNA, complete genome, isolate: 2001	D	19	19	19	19	19	2001-01-01	2001	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
AB448775.1	AB448775.1	Human adenovirus 37 genomic DNA, complete genome, isolate: GW	D	37	37	37	37	19	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB448776.1	AB448776.1	Human adenovirus 37 genomic DNA, complete genome, isolate: 1991	D	37	64	37	37	19	1991-01-01	1991	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
AB448777.1	AB448777.1	Human adenovirus 37 genomic DNA, complete genome, isolate: 1996	D	37	64	37	37	19	1996-01-01	1996	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
AB448778.1	AB448778.1	Human adenovirus 37 genomic DNA, complete genome, isolate: 2004	D	37	82	37	37	37	2004-01-01	2004	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
AB550823.1	AB550823.1	Human adenovirus 53 DNA, complete genome, strain: K5/Sapporo/2007	D	85	85	37	22	8	2007-01-01	2007	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB562586.1	AB562586.1	Human adenovirus 15 DNA, complete genome, isolate: CH38	D	15	15	15	15	15	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB562587.1	AB562587.1	Human adenovirus 29 DNA, complete genome, isolate: BP6	D	29	29	29	29	29	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB562588.1	AB562588.1	Human adenovirus D DNA, complete genome, isolate: 2307-S	D	56	56	56	15	9	2008-09-01	2008	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
AB568096.1	AB568096.1	Human adenovirus 53 hexon gene for hexon, complete cds, strain: 53/C075/Matsuyama/2003	D	85	85	37	22	8	2003-01-01	2003	JP.05.1857456	JP	05	1857456	?	?	1857456	Matsuyama-shi	33.83568	132.76224	ADM2	2017-07-22
AB568097.1	AB568097.1	Human adenovirus 53 hexon gene for hexon, complete cds, strain: 53/K5/Sapporo/2007	D	85	85	37	22	8	2007-01-01	2007	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB568098.1	AB568098.1	Human adenovirus 53 hexon gene for hexon, complete cds, strain: 53/FS161/Fukui/2004	D	85	85	37	22	8	2004-01-01	2004	JP.06	JP	06	?	?	?	1863983	Fukui	35.85	136.21667	ADM1	2019-03-08
AB605240.1	AB605240.1	Human adenovirus D DNA, complete genome, isolate: 870006C/Hiroshima/1987	D	85	85	20	22	19	1987-01-01	1987	JP.11	JP	11	?	?	?	1862413	Hiroshima-ken	34.60673	132.78543	ADM1	2019-08-02
